P19438 Q62315
Q9ERD7 Q03052
O14641 Q61576
P63239 P70428
P12755 D3Z7P3
Q61091 Q8K0V4
P11103 P32883
Q9QXG4 Q91ZP6
P55200 Q9ERR1
Q8CAQ8 Q60973
P61962 Q80WQ6
P17535 Q9NR31
Q61585 Q61686
P13796 Q80W00
P26039 Q9D0A0
P17095 Q8BH43
Q9JIF7 Q07120
Q62849 P31809
Q8IYB4 Q61033
P70191 O14735
Q8VE65 Q80U72
P70460 Q62849
Q8VDU0 Q61164
O08807 O14686
P15806 P63211
Q9H845 O88508
Q60972 Q9Y6W5
Q14106 Q8VI67
P63001 P49817
Q8BMT4 Q99LI8
P11881 Q64364
Q3TQ03 P70191
Q61539 Q6PAL8
P35279 P11798
Q9Z2G6 P28574
P70351 P22681
P05141 Q3U7R1
P31809 Q61457
Q64010 Q6PDG5
Q96QK1 Q5NCS9
O14745 Q8BX10
Q61585 Q00547
Q8K3Z0 Q64028
Q13671 P05627
Q9WUN2 Q925J9
P40336 P46013
P23242 Q9CR59
Q9WUN2 P56931
Q16594 O08528
P04273 Q91WA6
Q9EQQ0 Q9NVI7
Q80Y61 Q8CII8
Q9ESK9 P63038
Q99ML1 P27601
Q9H845 Q6PB44
Q8BX10 P17931
Q8CFN5 Q8BMT4
Q80UV9 Q9CQV6
Q7YQC6 Q3UZZ4
P19878 P30051
Q96QK1 Q06587
Q99ME6 Q3U4G3
P15209 P48985
Q13671 Q9Z0Z7
P13497 A2AU37
O14735 P63015
P48736 A2AM29
Q61286 P20340
P53563 Q8BGT1
O88522 Q5VIR6
Q5SPW0 Q3U4G3
Q99KV1 P26309
Q91W69 P48432
P51150 O60341
Q64261 P20340
Q9R0M6 Q15596
Q9UPY3 P00533
P31946 Q9R190
Q61543 P97287
P26039 Q06587
Q61286 Q03173
P84243 Q13546
Q80VC9 Q8K4Z3
O94817 Q61881
Q9CQJ4 O95810
P63015 P35221
P28347 Q9CZA6
Q60722 Q6GQT6
P97573 P25118
Q9CWR8 P68135
P97357 Q62747
Q99LI5 Q64096
Q8BX10 O88712
Q86SQ0 P43247
P97474 O88447
Q99MV1 Q01279
Q3U7R1 O15047
Q8BPU7 Q924A0
P26769 Q505F1
Q9CXC9 O43164
Q9QUN7 P20823
O35261 Q9WU38
P17947 Q9NPP4
P14653 Q8BGT1
Q3TCV3 Q16665
Q6P9Z1 Q8VHC5
Q6PAL8 P39689
Q9EQQ0 Q8VCF0
P62806 Q8CI75
Q3UHN9 Q8IZP0
Q9CQU3 Q09163
Q8CDJ3 Q91ZK0
Q9NVI7 P19525
P52194 P97762
P56931 Q8BPQ7
Q8C0J2 O14686
Q62073 O70576
Q3U6Q4 O54918
P61092 Q9NVI7
O54941 P11531
Q5NCP0 P26769
Q92945 Q9Y5U4
O35972 P55200
Q15814 P30051
Q8VDU0 P26309
Q920Q2 P11798
Q62193 Q8VD65
Q62420 Q8VE91
P18484 O54917
Q9WTK8 Q6GQT6
Q8BH43 Q01094
Q5SWW4 Q9Y613
Q8K1I7 Q9CWR8
P51450 Q9QXS1
P20338 P42582
P84228 Q5EBH1
P16546 Q6NXW6
Q9ERG0 P10085
P35279 P04637
Q8VCN5 Q99LI5
Q9DCT2 Q9QUI0
Q3UHN9 P43247
Q60722 Q9Z1S8
Q811U4 P12979
Q9H845 P07901
P70280 P20293
Q9UKV5 Q3U1J4
P23242 Q9QXW2
P63141 P39428
P63211 O88291
P70618 Q3UZZ4
Q80Y61 Q2VPD4
Q02308 Q9QWL7
Q9DCT2 Q61316
Q9CWX2 Q9UKB1
Q80Z64 P62743
P28159 Q80U63
Q8R5B6 P48985
P11420 Q62418
P10809 O88485
P06876 Q9JM54
Q91ZW3 Q9D5L7
Q03963 Q9CWX2
Q13131 Q8BGT1
P42566 Q6NZ36
Q99LT0 Q7M6Z4
P81122 Q6P9Z1
Q61543 P49615
Q9QXG4 P70662
Q12888 Q99962
O43353 P17275
Q5BLK4 Q96AP0
Q8BX22 Q8K4Z3
P21707 Q91ZW3
Q7TNS8 P60953
Q9CWX2 Q01705
Q99LT0 P41499
Q61576 P14653
P01108 Q07813
P63001 P03888
Q15596 Q8K3Z0
P35278 Q99814
P12003 Q61164
Q99P72 P22227
P40855 Q64028
O43521 P53762
P13405 P63010
Q96QK1 P13405
O09106 P50395
Q8VD65 Q96AP0
Q00899 Q8BX10
O14735 Q91WA6
P15976 P00493
Q7Z434 Q99K48
P30658 Q92934
P97357 P22681
P31266 Q3U4G3
P51881 Q9JII7
P00397 P11362
P09958 P23798
Q8K386 Q9D032
Q9ESU6 O75581
Q8VEM8 Q6PR54
Q920Q2 Q9Y2T1
Q9Z0H3 Q9UHB6
Q91W69 Q61585
Q9CZD3 O88907
P83953 P04925
Q9Z2D8 P60953
Q14164 Q9NR31
P63279 Q5VIR6
P46938 Q5SPW0
Q8IZP0 Q3U7R1
P08752 Q03347
Q6NZ36 P35278
Q5SPW0 Q64337
Q00566 Q8BHH2
Q8VDU0 Q99ME6
Q9DCJ1 O15047
O88712 O43521
Q60778 Q9EQD0
P15884 O08599
Q96QV1 Q6ZQ88
P25705 Q969H0
Q9UHB6 Q505F1
Q61712 P70444
Q63932 Q6P4S8
Q61543 Q9H444
Q9Z2D6 P13796
Q9BYE7 Q9CQU3
Q99ML1 O88509
O54918 A2A935
P70662 P31324
Q80WQ6 Q9CXF7
P29083 P39428
O88572 Q9D902
P17535 Q62696
O88797 Q6P9Z1
Q13263 Q9H845
P16615 P39447
Q8IYB4 P59759
Q8K341 Q91X20
O94888 Q9QUN7
P55200 Q8IWE5
P01108 Q15019
P60010 P04156
Q9WTU6 Q9UKV5
Q920Q2 P35285
P10809 Q920Q2
P23818 Q15370
P39052 Q9Z0H3
Q9JK11 P01108
Q8VDU0 Q99K48
Q15139 Q921D4
Q99JW4 Q9Y6N7
Q9UN42 P13497
Q9WU62 Q9CWX2
P42574 O54941
Q5NCS9 Q91WC1
P19438 Q9ERR1
P42566 P50538
Q3TCV3 Q03347
O75436 Q99JR8
P23818 P16104
P13393 P70347
E9Q3T6 P09958
O75695 Q61466
Q8CIS0 Q91ZP6
P14142 P28322
Q60722 P56817
P25118 Q9JM05
Q8K4J6 P29122
O35963 Q99JB6
Q9CQU3 O88448
Q63ZW7 O43521
P41136 Q7Z434
Q3U7R1 Q00899
P09022 Q9JI78
Q9Y2Q3 Q9QZ85
Q61164 Q9QZ88
Q5VIR6 Q9QXW2
Q8VEM8 O88384
Q99MS3 O09053
Q62280 O70441
P24468 Q9QZL0
P26038 Q8R3L8
O35261 Q09163
Q61036 Q9UN42
O00327 O75460
P83940 Q9Z2G6
Q8K4K2 P08081
P04156 Q9Z1E3
Q00566 P29994
P13002 Q4ACU6
P07207 Q05144
Q8CFI7 P10809
Q99KV1 Q8C2Q3
Q8K450 P32067
P17918 O70405
P39447 Q03052
Q9JIH2 Q8WUM4
P05622 Q9Z2D8
Q61457 P55040
Q61585 Q27934
Q80U12 Q99JR8
P06876 Q61851
O75716 Q9Z0Z7
Q9D5L7 Q96KQ7
Q9EQD0 Q8WUW1
P32067 Q99961
Q60722 Q8VC85
P48432 P36888
Q9WUN2 P84243
P62944 Q8K0H5
Q9QXA5 Q8VC85
Q62420 Q9DAN1
Q80U72 P15884
Q63932 P51945
Q8CAQ8 Q99963
A2AKX3 Q811U4
Q8CBD1 Q4ACU6
P11531 Q61687
P06400 P33173
Q9JI78 Q91ZP6
Q9JM05 Q8VCN5
O08852 Q5XJY4
Q80UV9 Q9EQH3
P62826 P51637
Q925J9 Q61851
Q9R190 Q60803
P35227 O35526
P97302 Q62696
Q9Z1S8 Q92833
Q60641 Q14185
Q27934 P48026
P68431 P63073
Q99LT0 Q8CFH6
Q05144 Q6PDG5
O35972 Q8C5S7
Q5EE38 P47757
O35696 Q62311
Q80WQ6 Q6PGF3
Q9D0A0 P63101
P06400 Q9Z1S8
Q60722 Q62420
Q27934 Q61316
P15037 Q9ES67
O75581 Q5SW79
Q8R4K2 P35227
O09106 Q9CQY1
Q08509 O35618
Q8CFH6 O94888
Q62296 Q9EP80
Q3UZZ4 P17427
Q8R5A3 Q99KV1
Q00420 Q9EQZ6
Q8CFN5 Q8BGV8
Q91ZK0 P57716
P63044 O08852
P49768 P15919
P56402 Q8BRH4
Q9NVI7 Q8C0J2
Q6P4S8 P39052
P20226 Q9ERR1
Q9DCT2 P22682
P03888 Q8K450
P97369 Q9Z2D6
Q8BGT1 Q8VEK3
P10809 Q8BH43
Q99JW4 Q9Z2D6
Q9D9Q6 P23204
P42567 P51448
Q9WU00 Q9JI78
P11420 Q8IWE5
P15307 P42208
P17947 Q4KM98
Q62696 Q80YQ2
O08852 Q9NVI7
Q13393 O54918
P84092 Q99NB1
Q8K285 P05141
O00763 Q61496
Q9Y4D1 Q99NC0
Q61036 Q6NZ36
Q61180 P28347
Q925I1 Q8CBD1
P09803 A2AM29
P63038 Q5EBH1
Q9UKV5 Q8C0J2
O08528 Q99ME6
Q8CIP4 Q505F1
P42574 P52431
Q7Z434 Q03963
Q60698 P20029
Q07120 P70313
P00523 Q62849
Q3U7R1 A2A6Q5
Q3ZCQ8 P29452
P08775 Q99NB1
Q8K4Z3 P70326
Q9JIY5 P10820
Q9DBG3 P54725
Q9EPB4 P35279
P08113 P06537
Q99JR8 Q6PAL8
Q99814 Q62747
P29477 P26687
Q99684 Q15814
P30658 Q02763
Q8VHC5 P23204
P31809 Q15554
Q5XJY4 P63001
Q0JRZ9 P20293
Q80YV3 Q8JZN5
Q9DCM2 Q80YQ2
Q61543 P06536
Q9D5L7 O35286
Q9Z2G6 P10276
Q62261 O60341
Q8BHJ5 O88797
P58774 P51637
P00493 Q9D0A0
P10417 P62812
P09631 Q9Y5U4
P13393 P23818
Q08484 Q06507
Q9JJY3 P70388
Q99ML1 P00533
Q62093 P10809
P30658 P22723
P29083 Q64010
P10071 O35972
P49768 Q62296
P35279 Q9Z1E3
Q64364 P16615
Q9CZD3 Q61712
Q86SQ0 Q9NR31
Q8CII8 Q9CZA6
Q61585 P70662
P78352 Q8VHR5
Q9DBL9 Q99NB1
Q61457 Q61411
P03995 P51608
O35696 Q7TPV4
P63328 P35269
P30681 Q9Y5U4
Q8VEM8 P68404
Q925I1 P52194
P48443 P05141
P20340 P60322
Q5EBH1 Q3UHN9
Q61699 P09803
P42208 Q60821
P04273 O88508
Q8K4Q0 Q8CII8
Q8BGV8 P55072
P61019 Q8CFN5
Q9GKK5 Q60722
P97310 O70441
Q08369 Q92558
Q70E73 Q01705
O43164 P11420
O60333 Q8R3L8
Q9NTG7 Q9CW03
Q61496 Q15545
Q99ML1 Q15599
Q4KM98 Q9CXF7
Q9NTG7 O60447
O08838 O08547
P31938 Q5SWZ9
P18850 P81122
P15927 P29477
Q78PY7 P63038
Q99MI6 Q8CIS0
Q8CGN4 O43516
Q04863 O35963
Q91WA6 P56931
Q61166 Q9CSN1
Q9H845 Q60974
A2BH40 Q62747
P11442 Q9Z2B5
Q9Z1T1 P13393
Q9Z0Z7 Q6XZF7
P83917 P63044
P06748 Q99ML1
P17918 Q1XH17
Q6PHN9 P51448
Q04206 Q9JJY3
P06400 Q91WA6
O43521 O97143
P41969 Q99JW4
O35099 P05627
Q99K48 Q8C456
Q61543 Q05144
P12755 Q96MT8
Q61188 Q62849
Q62384 Q99NB1
P16615 P28741
Q9JMF3 O75461
Q9D9Q6 Q99NC0
Q9DBG3 Q80W00
Q62083 Q5EE38
Q01405 Q7Z434
P31273 O70405
Q09014 A2AGH6
Q6PAL8 Q1XH17
Q9UPY3 Q9D9Q6
P09632 O97143
Q3UIK4 P29122
Q9CQR7 P68404
P13405 P02563
Q9EQD0 Q06507
P51881 Q12840
Q9QX47 Q92542
Q8K4Z3 Q8CGF6
P51637 Q14160
P15337 P41499
Q9CQU3 P70444
P51637 Q9GZM8
Q8K4Z3 Q61851
Q3UHK8 A2A6Q5
Q7Z434 O89110
P23242 P25801
P28347 Q8CGF6
P33173 Q99743
Q9DBS5 P31273
O09053 Q99MV1
O35286 Q3ZC07
P97310 P51693
Q9H0H5 Q3UZZ4
P70166 Q8CHI8
P51608 Q15139
Q8BKX1 Q9NUX5
Q13547 Q921Q7
Q9Z2G6 Q64279
Q9CXF7 Q61234
Q8VE91 P16858
P00397 Q6P5F9
O75460 Q6KCD5
Q9CPX6 Q9JIY5
O35350 Q96KQ7
Q8NBS9 P48281
Q5SWZ9 Q64096
Q91XE4 P25801
P62944 Q9ER74
O88797 A2BH40
P25118 P00523
Q80TP3 Q9CZD3
P28223 P15337
Q9WU78 Q9Z2D8
P13497 Q7TNS8
Q8C796 O43521
Q8C8R3 O55203
P70351 Q3UZZ4
O14735 Q9NUX5
Q9CPX6 P20823
P58771 Q8VCD5
Q16611 P54841
P51150 P63015
Q3TCV3 Q07817
Q9DCH4 Q61091
Q5EG47 O35972
Q6ZWS8 Q9DCC8
P63212 Q60974
Q62747 Q5NCS9
P22682 Q99K48
P54830 Q60972
P06400 P57716
O75143 P21675
P25118 P35278
O88448 Q91X20
P63000 Q62193
Q1XH17 Q60644
Q7TNC6 P35637
Q8CHI8 P70302
O00443 P63141
Q99PW8 Q91ZW3
Q61576 Q6NZM9
O97143 P23772
O54918 P15884
Q13085 Q03052
P40855 Q15599
Q08775 P04925
P09023 O88447
P23204 Q9JI78
P13497 Q9CWR8
P23242 P28033
O88838 P08113
P53350 Q5SPW0
P49817 Q8C2Q3
P04925 P21707
Q9JM54 Q4ACU6
Q9Z2D8 Q92558
Q68FD5 O75461
Q8R5C8 Q8VBX6
P47757 O55236
Q9Z2D8 Q8C2K5
Q9NVI7 P41164
O94985 O08734
Q8K1I7 O55236
Q61539 Q8CAQ8
Q9P1Y5 O75460
P52194 Q13546
Q9JM54 P63166
P12755 Q9GT24
Q91X58 P97377
Q61585 O88477
Q60848 P09958
Q9H845 P46097
Q3UHN9 Q96NW4
P39429 P37242
O35235 Q80U63
Q62447 P58771
Q15139 Q9DB91
Q8CBD1 Q61543
P12830 Q8NDF8
E2JF22 Q64318
P56402 Q8VBV4
Q91ZP6 E2JF22
Q61234 Q8K4Z3
Q811U4 O08586
Q60520 Q8R5B6
Q9R207 Q91WA6
P0C605 Q64028
Q91ZK0 P26039
Q8BKX1 Q03347
Q9JKY0 P04156
P51150 P52795
P23818 Q9Z148
P63141 P33176
P30051 P02994
Q8BH43 Q15554
Q9Z0G0 O14686
Q61091 P21278
Q99MI6 P56402
O88838 Q6PGF3
P21279 Q9WVK4
Q9D902 Q6PHN9
P35396 O08852
Q8K0H5 Q9WU38
Q9WVE0 Q61091
Q9HC52 Q5BLK4
Q61411 Q3UZZ4
Q6NVF9 P25705
O88797 Q6KCD5
P23818 O75530
Q6PGF3 P04273
Q99PP7 P70429
A2A259 Q60848
Q9EQQ0 Q61768
Q62083 P70351
Q00420 Q14152
O35963 P46406
Q80WQ6 Q8BH43
Q5NCS9 Q3TCV3
P31273 P60953
Q62296 Q60855
Q8K4S1 Q9NUX5
Q99KV1 Q01320
Q62074 Q925I1
Q7Z434 Q9JJY3
Q9Z2D8 P62962
Q505F1 P13796
P06400 P21803
Q9DCJ1 Q5VIR6
P70343 P51637
Q3U7R1 A2AM29
Q8N1F7 P22723
O08547 P46096
Q8CAQ8 P56817
P35285 Q9UBU8
Q8CAQ8 P63217
P61586 P15927
P61224 P18850
P39428 Q920B9
Q9NTG7 O43143
P25705 Q7M6Y5
P15924 P09631
Q3TKT4 P35278
Q06587 Q8BLU0
Q68FD5 Q8VHR5
Q64163 Q99J83
Q62696 Q2VPD4
Q6P9Z1 O43896
O75460 P54841
P35294 Q9R207
Q6PGF3 Q0GNC1
Q80U70 P62743
P15307 Q8C8R3
O35350 Q8BLU0
P17535 Q5NCS9
Q9ER74 P17879
P27448 Q3UZZ4
P42228 Q61576
O35286 Q02566
P21784 P63212
Q3UZZ4 Q61091
P51881 Q80UW2
P12830 Q03001
P12003 P10415
P41182 Q8CGF6
P22227 P03995
P18484 P15307
Q05769 P70168
E2JF22 P12003
Q9EQH3 P15806
P13796 P20293
Q08484 O00327
P40336 Q06455
P70351 Q61598
P46061 P63141
Q9DCJ1 Q8VBV4
Q0GNC1 Q8N1F7
P35637 Q5BJU5
Q27934 O88566
Q9BXL7 O70374
O35972 P54254
P04156 P54841
Q1XH17 P25118
Q921T2 O88447
Q15599 Q9ESN6
Q9Z2S7 P08113
P49768 P41778
Q45KJ6 Q9D5L7
O70374 Q09163
A2A259 Q9D9Q6
P06730 Q9CR59
Q5SPW0 Q9D902
P37198 O35696
Q9Z2V5 Q8BX10
P61092 Q61585
P16615 Q92830
Q05193 Q9Z0H3
P13020 Q9Z0Z7
Q00422 P42567
Q9DCT2 P15209
O75529 P57764
P63140 P61027
O14686 Q9DBR7
P13002 Q8VE91
O88700 Q9EQZ6
P31273 P55258
Q61188 P28776
Q8BH64 Q96KQ7
Q61576 P53563
Q8VDS3 Q9UPY3
Q5SPW0 Q8VIM5
P39428 P30275
P29122 O70343
Q60898 P62806
Q8K3Y3 Q9UKV5
P60879 P06899
O88509 Q8CFV9
P49790 P54830
P42582 Q01405
Q8BP92 O55236
Q8CHI8 Q9WU38
Q9CU65 Q99MK8
Q13085 Q5VIR6
P26687 Q6XZF7
Q92614 Q60996
Q8VIM5 P61224
P48985 P32883
Q920B9 Q9R0X5
Q6A078 Q7Z434
P11021 Q02395
Q9DBG3 Q01094
Q99NB1 Q9Z2B5
Q9GZM8 Q60793
Q8BH64 P41164
Q9UN86 Q64104
Q8BPU7 Q5SPW0
P70351 Q8BMT4
Q91WQ3 P46152
P06876 Q8BH43
P28776 O54864
Q8VBV4 Q5VIR6
P09411 P10085
Q8R4K2 Q64318
P24941 Q91ZP6
Q8VE91 P70347
P63044 Q8VI33
Q9Y2A7 Q9DCC8
Q02111 P97302
Q9D032 Q7L576
Q9UPT5 P20340
Q0VGT2 Q9Y2Q3
Q9D903 P15209
Q9UBL3 Q91WA6
P61007 Q99LI5
Q8VI67 P97369
Q61527 Q05144
Q16611 Q61166
Q9UPY3 P97357
P30671 O35972
O08808 P23818
Q9DCM2 Q9DCH4
P11881 Q07120
Q9ESN6 Q921T2
Q6PDG5 P39717
Q4FZB7 Q9ERD7
Q9R190 Q5NBX1
P47757 Q64279
Q9UBU8 P23242
P41969 Q3U4G3
P60766 Q9D0A0
Q62193 Q3UZZ4
Q9Y2Q3 P63017
Q9CQR7 P70372
O70343 P29452
P15924 Q9QX47
Q8R5B6 O35286
Q7TNL3 O54918
Q00547 Q96KQ7
P51945 Q16611
Q9R0X5 Q9JL19
Q9JK11 Q9UN42
P23818 P45984
Q6P5F9 Q8BGT1
O43164 P50540
Q62318 O94986
P51532 P63010
Q99N13 Q5NCS9
Q8K4Z3 Q9ES74
Q9EPC1 P17275
Q80VC9 Q921T2
P29122 Q64287
Q5SPW0 Q60668
Q60848 Q9UPY3
Q61234 Q9Z0S6
P42566 Q8VI67
Q80VW5 Q61686
P09631 Q5NBX1
Q9R0Q1 A2AM29
Q62093 P28223
Q9ES67 Q06481
P61007 O09106
P22682 Q62093
Q924A2 Q5SPW0
Q6GQT6 Q6PDG5
O88838 Q5SWZ9
Q63932 P09022
Q8IYB4 P09958
P97762 O43521
Q8BMT4 Q60821
Q8BLU0 P35294
Q9UN42 Q9Y5U4
Q61881 Q9UPY3
O88291 Q15019
Q91WT9 Q99ML1
P28347 Q61234
P17679 P78352
O09053 Q9DBS5
O09053 Q5BJU5
Q8R1S4 Q5EE38
Q9CWX2 Q03173
Q8BGV8 Q921E6
P35279 Q9JKV1
Q8CII8 Q68FD5
Q3TCV3 P39428
Q9R0X5 Q60793
Q99MI6 P46935
P19438 Q96AP0
Q99NB1 P35221
Q9WU00 Q60898
O70576 P20339
Q3ZC07 P28574
Q9CR95 Q99PV5
Q00286 P62484
O88291 Q9NPP4
Q60520 Q9DCT2
Q80UV9 Q9DBG5
Q8VCF0 P08081
Q7TPD1 Q64096
Q921E6 Q80U72
Q62048 Q02395
O94985 Q7Z434
Q61644 Q64364
P35585 P83940
Q8VCF0 P08113
Q13363 Q61576
Q8R5A0 Q61091
P62484 P23772
Q05193 Q9BYE7
Q9CSN1 P60879
Q9UN86 Q9D9Q6
Q14160 Q8CFI7
P30275 P18760
P43247 P70428
Q62233 Q8CGF6
Q6PAL8 O35710
Q9NPP4 O88509
Q6P9Z1 Q9WU78
Q08509 Q60737
P23818 Q8BHH2
Q61686 O55222
Q60974 Q9WUN2
Q9GZM8 P09803
O35904 Q9NUX5
Q76MZ3 Q91ZP6
Q63ZW7 Q9UBG7
Q9QUN7 Q921D4
Q8BLU0 P17427
Q9Z0S6 Q8BKI2
A2AKX3 P13497
Q6DIC0 P51881
Q92783 Q99KV1
Q9DCM2 Q9JKY0
E2JF22 A2BH40
Q5EBH1 Q921T2
Q924H2 P63038
Q6P4S8 Q9QXS1
Q9DBS5 Q9CSN1
Q9Y5U4 P30561
P50540 Q13563
Q8R1S4 P18850
Q12840 Q811U4
Q62318 Q13546
P05622 O54918
Q9CQJ4 Q8K4S1
Q9Y2T1 Q7TNS8
P63015 P61224
Q08775 Q9UHD2
O88797 Q920Q2
Q62141 Q8CI75
Q61881 Q3TBT3
Q62725 Q14152
O70374 Q63932
Q8CIS0 Q99743
P83917 P04273
P35585 Q8VDS3
Q61216 O88566
Q924A0 P42574
P17947 Q61598
Q9D903 P11531
Q8K4Q0 Q5BJU5
Q62280 Q60803
P29122 Q1XH17
Q80U70 Q8C8R3
Q8C796 O75581
P56931 P61586
P09411 P46531
P12003 P25206
Q00959 Q8BP92
P81718 Q8CAQ8
O70361 Q3U4G3
Q03347 P25118
P04925 O35350
Q8R1H0 Q9ERE7
Q921T2 Q9Y2Q3
O35972 P15919
Q9QZS8 Q15545
Q9QXS1 Q80W00
P09632 Q61543
Q6ZPI3 O35099
P63328 Q00420
O54826 P33173
Q07812 Q5SWW4
Q02763 P35279
Q3UQN2 P56931
Q8BLU0 Q9WTK8
Q9NYJ8 Q62447
Q6P9P6 Q62447
Q9Y5K6 P70399
Q9DBS5 O70343
Q6KCD5 Q8IWE5
P30671 Q61527
Q92614 Q91X20
Q3UHN9 Q61457
P27577 P00397
O75962 P63015
P50538 Q99MI6
Q05769 Q07279
Q7Z434 Q8TDY2
Q9Y5K6 Q91ZP6
Q3U7R1 P13346
Q9Y2Q3 Q9JIH2
P70166 P35279
P15864 Q6XZF7
Q9EP80 P23708
Q9UBL3 O08852
Q9Z2G6 P08775
Q02308 Q7TNC6
Q9WU84 Q8CFI7
Q9JM54 O70441
Q9UBL3 Q9WU78
P35579 O54826
Q9Z2D8 Q60598
Q14106 Q9QXA5
Q5BLK4 O15047
Q3TKT4 P60322
O08788 P23242
Q9H845 Q60598
O88485 P09450
P57716 Q13263
P56581 P70302
P70399 Q8VE91
Q91VH2 Q8BX10
P19438 P27361
O15379 Q3U4G3
Q9EQD0 Q60803
Q6P4S8 Q96QV1
Q61585 P43247
O35261 Q910N6
Q811U4 A2AUM9
Q925I1 P38531
Q62108 Q62193
Q60793 Q8CIS0
Q9BXL7 Q62311
Q9DBS5 O70374
Q8CGF6 Q9Z2G6
P56931 Q811U4
P25118 Q9EPB4
Q9JL19 Q12840
Q99J83 Q811U4
Q62311 Q3TCV3
