Q96K21 Q13627
Q96RK0 P30626
Q9H0R8 Q96KQ7
O55005 O95747
Q9Z0Z7 Q68CZ6
Q9H082 Q99871
Q9NXB0 Q5H9F3
Q9H9G7 P63146
P42229 Q16891
O00257 P05198
Q9Z0G0 Q8NBS9
P27448 Q8IXB1
Q8NB16 Q14209
O00631 Q9Y6H5
P22455 P53762
P18113 Q12983
P08559 Q9Y297
Q9Y5N6 O95396
P61964 Q96HS1
P48736 O43719
P04601 P34021
Q4JIM5 A4D1B5
P03407 P04198
Q16740 P20029
Q16790 P20651
P61106 P33240
P52948 P60468
Q9NXG0 P15976
Q14498 P58005
O43516 Q8NBS9
O15446 P36046
Q92800 Q6IAA8
P19438 P12270
Q13889 Q49A88
Q5VZM2 Q99728
Q6FI13 Q811T9
Q9UBP6 P50395
Q15637 Q9Y6N9
Q9H0D6 P49768
Q14999 Q15906
Q9UBS4 Q66GS9
P15924 P15976
Q03518 Q92889
Q9H0R6 O75044
Q8IZU3 P01009
P04273 P14174
P57078 P10515
Q05193 P07823
P68106 Q9UL03
P43308 P15104
P22607 P49848
Q9H1Y0 P18085
O00330 Q9BQA1
P87108 P32505
Q9UBQ0 Q9H307
O75865 Q80VP1
Q9WTK7 P67812
Q9BPX6 Q15771
Q96RD7 Q7Z4S6
Q03142 Q9NYB9
Q99700 Q15428
Q6P2C8 Q9Y285
Q14188 Q5T4F4
Q8IWZ6 P51825
Q9ULK4 Q8WTX7
P70191 Q9UK61
Q9NPI1 Q2I0M4
P35232 Q8IWV7
P39008 P28845
P70399 Q13813
P54259 Q13438
Q8TD16 P52815
Q9ERG0 Q92833
O43541 Q03173
Q04650 Q15814
Q92785 Q64690
Q9UBV2 Q01082
O14656 P51795
Q14999 Q9Z2G6
P18847 O95822
P14598 Q8N138
Q99743 P62157
Q9CW03 P21802
Q92843 Q9UHR4
Q9HD67 Q9H9Y6
Q9GZU1 Q9Y5B9
Q9NRX4 Q9UHV7
Q3U7R1 Q99459
Q16254 P01912
O43491 P04198
Q92522 Q9Y2V7
Q91YI1 O00411
O14503 Q9UID3
Q8IXH7 Q99942
P69723 Q9UIF7
Q04205 P22087
P15976 Q6UXV4
Q01320 Q80WQ6
O15014 O00411
P30671 P28715
P62743 O08734
P11498 Q06413
Q9HBL0 P49760
Q9Y580 P27824
Q01405 Q9HAN9
P52286 P33450
P30622 Q16695
P05141 Q9BWF3
Q8IUC6 P49848
P11498 Q86WV5
Q9ES74 P40238
Q9Y6N7 Q71SY5
Q9UK61 P58753
Q96G30 P35269
Q5VIR6 Q9Y4K3
Q925J9 Q12955
Q96QK1 Q9Y5U4
P63010 P49715
P15311 P23772
Q9UGN5 Q96ST8
Q5VWQ8 P56545
Q9Z1W9 P26678
Q15572 O43516
Q03135 Q9QXG4
P21675 P07737
Q12931 P25118
O75113 Q99719
P19878 Q86SZ2
P20226 Q96MT8
Q12931 Q9Y262
P01130 Q7Z6G8
Q15329 P84085
Q9UK53 Q63932
P81122 P22830
P43355 P12694
P51151 Q96MW7
Q6ZQ88 P82664
O15269 Q60974
P15976 Q4JR05
O00139 P23255
Q15059 O14908
P42262 P50148
Q9H7E2 O43716
Q09028 O88485
Q92831 Q9P2W9
Q86WV6 Q9BSJ6
P35354 Q53EL6
O95999 Q96T58
P52564 Q9H6L5
P49281 O95396
Q99871 Q9UL03
Q9CQJ2 O15270
Q9Y2B0 Q07813
Q16891 O43463
Q9I9A7 Q9NRI5
O14686 Q66GS9
P54287 Q80U70
Q8WVM7 Q92896
Q07120 Q8N3I7
O35696 P01009
O95835 Q13263
Q61316 Q91X58
P23769 P35998
Q15814 P46063
Q9NS87 P59759
Q9Y265 Q99MI6
P0CE12 P10828
P52701 Q99832
P14737 Q03160
Q96HS1 P26039
Q9UBV2 P57078
Q99496 Q9BXN2
Q8IXM2 P09619
P09661 P17156
Q8WXI9 Q07813
P49817 P18754
Q9ULD0 P20248
Q9HC77 Q7Z434
O95292 O75791
Q9C005 P07996
Q5S007 Q8IXH7
P17542 Q9H0R1
Q6UN15 Q9Y5U4
Q9UBE0 Q13042
Q60641 Q9Y2R2
Q96AE4 Q9UPN7
P25205 P13688
P41743 Q8WXF7
Q9ULK4 O70405
P19659 P31323
Q9Y385 Q13618
P10515 Q61180
Q8WXD2 Q9HCM1
P26368 Q92743
O95219 Q9UQ84
Q99570 Q9H334
P21279 Q3UHK8
P29122 Q99708
O00499 Q8NE86
Q96I24 A2RRP1
Q9Y371 Q04724
O61735 Q9UQ16
P40967 P60710
P04910 P62743
Q969U6 Q5EE38
Q9BRJ2 Q93009
O75581 O60244
Q96GN5 Q6P9F7
Q13216 P62494
Q9Y2L5 Q80VP1
P17693 P18847
O95994 Q8I2J4
Q9H6E5 O60337
Q9HB96 P30101
P49023 Q8CII8
P12755 P11177
Q96DA6 O95292
Q8VCD5 Q13322
Q02078 Q9UII4
Q00403 P60866
Q9UIG0 O15355
Q96K76 P41182
O15084 Q9NUJ1
Q96CN5 Q96E22
P55265 Q9NX18
Q12996 Q8TEP8
P97369 Q9CSN1
Q02297 F4HZB2
Q9UNP9 P63102
Q9ERG0 Q8VI24
Q92600 P33450
O00631 P52294
O75486 Q9UQB8
Q5DW34 O00330
P45973 O14640
O14735 Q08J23
O14867 P08752
Q91WC1 Q62073
Q08484 Q15003
Q13627 Q14451
Q8IY57 O15371
P39958 O15226
Q8IY57 Q0JRZ9
P16234 Q921E6
Q7Z4S6 A0FGR9
Q5VZM2 Q92896
D3ZAR1 O14776
P02545 Q92730
P55040 Q01705
Q13393 O14595
P23921 Q86YC2
Q9WU78 Q8IXJ9
P50851 Q5VWQ8
Q9P2R6 P58004
Q12824 Q99719
O43164 Q64693
Q9UBK8 Q9NZ52
A6NHX0 Q5T4F4
Q9P1Q0 Q9WTL8
Q6P2C8 Q13137
P04198 Q9NXB0
Q9H0R8 Q9C0K0
P43249 O15455
P33991 Q13085
P19878 O76031
P55317 Q9WU84
Q2I0M4 Q03252
Q9P0M6 Q60431
Q96QV6 P10636
Q8NE86 P51151
Q9BTP7 P02829
Q969R5 Q5U651
Q9BUI4 P50990
Q9GZU2 P25118
Q9UKV5 Q96DE5
P61981 Q920B9
Q9FNE9 Q5JU85
P49368 O43521
P46821 O15226
Q9NQG5 O43303
P27824 Q92552
P04156 Q9BTM9
Q9UBL3 Q14524
Q13085 O54864
Q69YQ0 Q6NZ36
P52948 Q7Z7H8
Q13216 P98161
Q9UPT5 O95639
Q92614 P68400
Q9NZU0 Q13105
Q9CQ39 P51114
P35354 Q9Y6H5
O00330 P21856
P19447 Q95460
P00966 P87108
Q9P0J0 A0FGR8
Q14185 Q9H082
P98082 Q9Y5B9
Q9Y566 Q9CQ39
P00533 P11586
Q6PF93 Q8NI22
Q06830 Q15059
Q9Y2X3 P01912
Q9H0E2 Q06455
Q9Y572 Q5W0Q7
Q6ZRS2 Q8N5H7
P70335 P17275
Q9NYG5 Q9UBS4
O43318 P22303
Q9H1Y0 P35227
Q96DX5 Q6IAA8
Q9BQS8 Q9UHH9
Q9JJY3 Q8NCD3
O00267 Q92934
P40337 Q8T045
O00522 P20428
Q9U299 Q13042
Q99570 P18113
P41279 Q9ULR0
Q99549 Q96CF2
Q96GD4 O15354
P02281 Q15814
A2AGH6 P49817
P40938 P28472
Q9HBM1 Q14643
Q8N122 Q8TDW0
Q9NV56 O75880
Q9UK53 P36888
Q9UBL3 Q9BT67
O00411 Q09028
Q9H4B7 Q16891
Q9ERP3 P20823
Q9NY59 O35344
O76003 Q9UPN9
P99999 P15408
P54577 O75379
P00387 O15226
Q969G5 P55317
P83916 Q14451
Q03252 P62917
Q15382 Q13243
Q61598 O43752
P31322 P36046
Q03519 P26687
O43739 P15873
Q9Y2B0 Q60803
O75529 P18206
Q9Y6X3 Q8WUM4
Q9BXW9 O08807
Q9Z148 Q8NEM0
Q9UPY8 P01106
Q15393 Q9NVI7
P20263 O15354
Q15185 Q9HCK8
Q8WWW0 Q86SZ2
P22830 P61956
Q9UBU7 Q15019
Q14676 O00180
P30291 P50395
Q9P1Q0 Q14674
Q582G4 Q9UGL1
Q8NHV4 Q63755
Q9H0X9 P12504
P41182 P20029
Q9UK53 P62269
P02511 P99999
P15924 Q9P2W9
O14607 P07437
P11831 Q13976
Q96E22 Q9HAU4
P70343 Q15459
P28749 O15354
O75943 P23381
P53667 Q8IWF2
P54284 Q96E22
P05771 Q5T4F4
P31322 P18846
Q6UX06 Q13156
P32776 Q9NZU7
Q9H082 O00327
P53618 Q92621
P15924 P12830
Q9UPN9 Q04205
Q24325 Q6ZNE5
O94972 Q99PV5
Q9Y5R8 P50148
P21953 O35343
Q6P2E9 Q9NX18
P13010 P52566
P48444 Q04864
P42262 Q9NZD2
P63166 Q9BT67
P56159 O94762
P10828 Q9UL18
O13563 O75127
O60942 Q9UBK8
Q9UBQ5 Q5SPW0
P49791 P22681
Q9HBA0 P10827
Q8N726 Q9NT62
P50539 Q9GZM8
P06702 Q15118
Q13424 Q6NSJ5
Q64690 Q9NRC8
O15355 Q92522
O75448 P11881
O00482 P16778
P25205 O15273
Q8NEM0 O60306
Q86SZ2 P42338
P62487 P52333
Q13554 P28324
P38862 Q2MKA7
Q9H6D7 Q8N365
Q96K21 P49848
Q92552 Q9UHX1
Q2I0M4 Q8IZU3
O00499 Q86SZ2
P12235 P35918
Q9UJY4 Q924T7
P51608 Q5VWQ8
Q5BJU7 Q9JJY3
Q6UXV4 P10589
P35606 Q96I24
Q70YC5 P40967
Q04199 P48643
Q02535 O60353
P23921 Q8N7H5
Q13951 Q7L1W4
Q9UMN6 P28223
O00506 O95292
O55005 Q9BT78
Q8NCD3 Q96FW1
Q9J3M8 Q92759
Q9H5Q4 Q12756
Q9NP77 Q13438
P28322 P39958
Q13428 O88572
P14222 O00482
P57081 P07830
Q14CX7 O88850
Q9Y468 P61224
O60907 O73557
Q96LI5 P25705
P17096 Q62073
Q9CW03 O75323
Q92800 O95219
Q14493 O43173
Q9UID3 Q13573
Q9H211 Q9P1Y5
Q04864 Q9NT62
O14879 Q9Y5M8
Q9NUJ1 O60879
Q9NR31 Q7Z6E9
Q96B02 Q96F86
Q08499 P02281
Q9NR28 P11881
Q86XK2 P42261
P08413 P52948
P01116 Q80WQ6
O43617 Q14061
P49257 P63098
Q9BPX5 O95994
P15873 Q9BQS8
P35354 O75044
P43249 P05166
P31350 P41212
Q96DA6 Q8R5A0
P78352 F1MNN4
P27448 P48553
Q9QZL0 Q9BUH6
Q6PL18 Q13323
Q96CS3 Q6ZRS2
Q9C0J9 P50503
P22303 Q80WQ6
Q5XLA6 Q14966
Q7TNC6 Q9NY59
O96020 P35998
Q9NQT8 Q6ZQ88
P23528 Q9Y2Z4
Q60809 Q96DX5
O75695 Q13029
P12830 O00422
Q86TM6 Q6PD62
Q15554 P48059
Q96B02 Q99942
Q99NB1 Q01405
Q13084 Q13620
P52333 Q07120
P56962 P40938
O60306 Q9WU84
O55043 P15873
P07270 Q91X58
Q9UID3 Q92698
Q9NZU0 Q9Y2J2
P00387 O75379
O14617 Q01320
Q91YI1 Q06547
Q13094 P01108
Q14677 O15269
Q8IZH2 P20700
Q8WXF7 Q08116
O75874 Q15652
Q9NZ52 P15104
Q8IWE5 Q9H1D9
Q9BT43 Q96DA6
P46821 P22227
P98082 Q8IYD8
P29122 Q9BYF1
P13497 Q9UHD9
Q99NH2 Q8R5C8
P10828 P24390
O75460 P14653
P30533 Q15003
Q9Y376 O00311
O75478 Q9UK97
Q9P2R6 Q9BXL7
P49768 Q13503
P13393 P00558
P25491 Q8TEK3
P18085 P99999
Q08J23 P29122
Q92890 Q9BRJ2
Q9Y3E7 Q7Z392
Q61180 Q99081
O43679 Q92844
Q61180 O94782
Q96C10 Q15562
P15311 Q9Y2X3
Q91XC0 O88572
Q9UID3 B2RQC6
P16104 P30990
A0FGR9 P09012
Q96EQ8 Q14164
P01912 Q96HI0
Q5JU69 Q9UPS6
Q15916 O14964
P09914 P41229
P53762 Q5JU69
Q00566 Q8IUC6
Q5TB80 Q8TDW0
Q15916 P13497
P61019 Q8WXD2
P52272 Q96C10
P10721 O70343
P04843 Q13156
P84244 Q9UL25
P68400 Q9NZU7
Q9M548 P98083
P29084 Q9GZQ8
P21675 F4HZB2
O95786 Q6TCH7
Q9Y6X2 P13747
Q6STE5 P12235
Q9H816 P50851
Q14188 Q12879
Q8NHZ8 P62942
Q60803 Q9UBP6
Q9NT62 Q92889
Q61180 Q9P0U4
P07823 Q9EPK5
P52566 P48552
Q3SYG4 Q16695
P13747 Q9GZS3
P70168 Q9UBV2
Q9H0B6 P38117
O08816 Q7Z7H8
P55197 P22681
Q5VST9 P25118
Q8IU60 A4D1B5
P48436 P51787
Q61656 P63104
Q9ULM6 Q15120
Q60809 Q6NSJ5
P70343 P18858
P36046 Q6FI13
Q16695 Q9H1H9
P25205 O60879
Q9NS28 Q15059
P35609 Q9NVP2
O00267 P61086
P30671 Q15545
P15172 P48643
O14503 P08559
O95994 Q811U4
P25454 Q8R418
P50542 P38159
P78527 Q9BXM7
Q8N1B4 P49418
P38432 Q7Z419
Q7Z4S6 O00330
P23198 P11586
Q8IXW5 Q8N4Q1
Q925J9 Q38SD2
O15550 Q9UPN4
Q86SQ0 O15550
Q8NA29 Q6ZW49
Q99471 Q7L1W4
P40238 P22736
P02686 O00631
Q9Y239 P06454
Q969R5 Q9BVA6
P17987 Q15393
P78527 Q9Y2R2
P50539 Q9NZD2
O75791 Q16740
Q9D5L7 Q9UBC3
Q13950 P13497
Q9H4A3 A2AGH6
Q8N5H7 Q9UJU2
P63146 O15371
Q496J9 O15151
Q5SPL2 Q9WYW0
Q14839 Q86UT6
P42574 O43474
P10515 P62917
Q14676 O00303
P13569 P98082
Q96AJ9 P13393
P09038 Q99NB1
Q14160 Q02218
Q7KZI7 P52815
Q6FI13 Q9GZU1
Q12879 P18847
Q86YP4 P84077
Q9Y2Y0 Q9NUV7
P33993 Q7Z4H7
Q14152 P20700
P43268 P49327
P62799 Q9NZN5
P09958 Q86U42
Q969G2 Q96AJ9
P09132 Q01279
Q9HCG8 Q13042
Q9Y676 Q96MT8
P30519 Q86YC2
O95931 Q2KHM9
O43303 Q13263
P49736 P04925
O43504 P57081
P09936 Q2MKA7
Q12888 P51668
Q9UQB3 O75122
Q15369 P12003
P24522 Q9HC29
Q9UHX1 P48735
P13747 Q96CB8
P48735 Q9NYV4
O60907 O75865
P42261 Q13651
P42229 P31040
Q96HS1 Q9H0B6
Q9C0C7 P82664
Q9BYX4 Q5SPW0
Q10567 Q91X58
P30665 Q9BQS8
Q9H6S1 Q15428
Q61411 Q07864
O55043 Q13503
Q9P0U4 P21554
P35354 P50570
P24643 Q9NS37
P46934 Q9Y4A5
Q8NFR3 Q15916
Q16236 Q5T4F4
P58335 Q9BSL1
P39958 Q9UHK0
Q9UQE7 P70302
Q9UIG0 Q03518
P21146 Q9BXW9
O75771 P24643
Q6UXV4 Q13009
Q9BZF9 Q80WQ6
P43403 P29375
Q16891 O88522
O15550 P08559
Q9QXS1 Q9BTC8
Q9NXB0 Q5EE38
Q8WVT3 Q9NUJ1
Q9UKV5 P30990
P51668 O55236
Q9NV70 Q8NBS9
Q9CR95 Q9P0M6
P23769 Q9UPY6
P42261 Q92748
Q86WV6 O15226
Q811T9 Q96E22
A0FGR8 P57771
Q14451 Q12983
Q9H9Q2 P18085
P62807 P20339
Q13190 P21580
O70511 O96019
Q14790 P07910
P10515 Q14207
Q8N3I7 P15923
Q92558 P09874
Q60855 O94985
P36404 Q13190
P60468 P07269
Q9NQB0 Q9NTG7
P25491 Q61033
Q8BKI2 O95461
P07237 P02489
P31000 O96000
Q8BKI2 Q68CP9
Q9H0X9 Q06830
P28290 O60306
P39052 Q9Z2G6
Q924T7 P82664
Q15629 O88522
Q9NVI7 O88485
P68135 Q8NFH5
Q96QV6 P04229
Q96F86 P15173
P81877 Q96RD7
O15226 Q99962
Q8NEZ4 Q96RU3
Q15672 Q6P9F7
P46108 O88850
P28223 Q15788
P21333 Q13569
O43516 Q8IXI2
O75197 O75143
Q5JU69 Q9NZI8
Q9UL03 Q8IVT5
Q13043 Q8T045
O00743 P17947
O94986 Q7Z434
Q9UPN9 Q9Y2B0
O95631 P28347
Q9NQG5 P18206
Q8TAF3 Q9J3M8
P05109 P82664
Q9JJY3 P50402
Q64690 O15055
Q64096 Q13404
Q9HCG8 Q86XR7
O95997 P07996
O14595 Q15468
P63098 P70351
P19387 Q9H6D7
Q9BY43 O75943
P24158 P49711
O15209 P21579
O88763 O95292
Q14678 Q9Y296
O43819 Q9P289
P49736 Q8IZH2
Q9BZD4 Q9UII4
P54198 Q07866
O14920 Q9Z0S6
Q9NS87 P12755
O95613 Q08050
O15209 Q9BSQ5
A0JLT2 Q96CB9
Q9H082 Q15554
Q96E14 Q969G9
Q9BPX6 Q99504
P98161 P28482
Q6NUQ1 Q13535
Q9H334 P25054
Q15544 P16050
Q03519 P30671
Q24325 Q8NDV7
Q99719 O15354
Q61686 Q8N3Y3
A0JLT2 P00966
Q9NUV7 O14686
Q9NPI1 O94927
Q6NZ36 Q9BYN0
P51149 O00267
O15550 O00743
Q13418 P52756
Q96E22 O14807
Q13813 Q8N138
P39016 Q15303
Q14789 Q99801
Q9UL18 Q15542
P26441 P49917
P48431 P62937
O15014 P46108
P70280 Q15059
Q8NHV4 Q9UGP5
P97573 Q9NVR2
Q92800 P51795
Q03164 Q96QK1
Q86U44 Q9BZE1
P38432 O43164
Q60793 Q9Y6H5
Q6PD62 Q15276
P04198 Q9QXS1
P38117 O88700
Q5T6F0 Q9UQB3
Q9UQB3 O55005
P04273 Q9UPT5
Q12789 O43164
Q14451 O75113
Q9Y2A7 Q9BVA6
Q8IY67 O76031
P19335 O55005
P12368 Q06945
Q01320 P63217
P22303 Q811T9
Q13509 Q9UBG7
Q13190 Q13568
Q9H6L5 P11532
Q01094 P08752
P35236 P23204
Q16891 O95503
Q15369 P10721
P18754 Q7Z392
Q70CQ3 O75396
P40238 P17693
P04601 O00763
Q9Y2Q3 Q9UJW3
O76031 Q15036
O88763 P19387
Q9BSI4 Q9NVX0
P97879 Q6UWZ7
Q9H2P0 Q9SJF3
Q03518 P18484
P09913 Q96CB8
Q9QPN3 Q9BYG3
Q96B01 Q01082
Q9Y2J2 Q9UGN5
Q99719 Q9UHH9
Q16342 P60468
P21802 Q9H944
O00743 Q04726
Q61411 O00330
Q15843 Q8TAM2
Q24325 Q14451
Q9BTT4 P16298
O70511 Q4FZB7
Q86YL7 Q9NVP2
Q12962 Q13191
P35228 Q12789
Q96ST8 Q8TCN5
Q8VCD5 Q2I0M4
Q86UY6 P17693
P78559 P81877
Q15120 Q01813
P62306 P13747
P46527 P49817
Q811U4 Q96AE4
P16234 Q8TEW0
O14974 P02281
P42684 Q8IXB1
Q9NR31 P70351
Q9Y3B4 P05109
O43617 P25098
Q16342 Q14789
Q9Y4E5 O88572
P50613 Q9BSJ8
Q924H2 P13497
Q9UPS6 Q13586
O75581 Q562F6
Q29RF7 P07737
Q91W69 Q06547
P01912 Q9C0K0
Q5SPL2 P11532
O14735 P51003
P13393 P00966
Q04724 O43896
Q8TAM2 P63146
Q96CB8 Q80TQ2
P05165 Q921C5
O88485 Q15648
Q91YI1 Q16533
P36871 P22087
P27797 A2AM29
P24864 Q61851
P09936 Q9NUB1
Q7Z434 P41250
Q6P9F7 Q12962
O14810 Q9BSJ6
Q64364 O43516
Q13472 O94985
P15873 O95786
P51449 Q08116
P25491 Q9NX18
P13861 Q9NVP2
P04488 P55957
P41910 P42261
Q15831 O75197
Q2I0M4 P23771
Q66GS9 Q6ZYL4
Q13156 Q8NFW9
O00180 P10243
Q5EE38 Q9UPN7
O95786 Q8N726
Q7LBR1 P10809
Q9BT43 P38117
Q9GZU7 Q9H7X0
P04843 Q8N5H7
P62942 Q92466
P49368 Q9BTT4
Q8N138 Q9H492
Q07832 O75396
O75154 Q5VVJ2
Q969U6 Q05639
Q86UT6 P00491
P52815 Q8N5H7
Q3ZCQ8 P08571
P17844 P11137
P49321 P61019
P28472 P21912
P21549 Q9BRX5
O00631 O15371
P25054 P25440
Q86SE9 Q9BXC9
Q9Y4B4 P30519
O15355 O60907
Q9UBG7 P15153
Q13191 P19447
Q9HC52 P49418
Q9Y5U4 Q9JHD2
Q12931 P13497
Q08379 Q99NB1
O15143 Q4JR05
Q13651 O95402
Q8IWI9 O08807
Q60610 Q9NVH0
P46061 P05166
A2AGH6 O60337
O43739 P32776
Q9UHH9 P38117
Q96J02 Q9NR28
Q15011 P04625
O43557 O88850
Q29RF7 Q9Y5M8
P61421 O75581
Q86SQ0 O43716
P16403 Q96E22
Q9Y6X3 P46939
Q8WX92 Q9UJ41
P21554 O15503
Q9H0F6 Q61656
P41235 P25098
P29474 Q99684
P52597 Q8WXF7
Q9NXV6 P26039
P49336 P50281
Q811U4 P17535
P49790 P14598
P01108 Q9H0W5
P24643 P68404
Q13813 P18615
Q9H0R8 Q13243
Q969R5 Q16795
P46108 P07910
Q9Y262 Q3KNV8
Q99814 Q9UNQ0
Q8WUA4 O55043
Q9H6L5 Q9Y285
Q9H0R6 P14174
P23804 O75865
P30260 O14879
Q9Y613 Q9UNP9
Q95460 P50503
O88700 Q10741
Q16611 Q91YI1
P31938 O15270
P13393 Q9Y239
P49257 Q9NVX0
P50402 O75436
Q9H0U4 Q6ZW49
Q9H0B6 P49450
Q9UKT7 Q9BSJ8
P56545 P30086
Q4JR05 Q60838
Q9Y385 Q9UMS6
P70399 Q9Y6B7
Q5BJU7 P13010
O94986 Q9Y4E5
O43819 P52566
O95786 Q03135
P51532 O75140
Q8N264 P12755
O43716 Q9UDY8
Q8IXI2 Q96G30
Q9Y618 Q9BR76
Q91ZK0 P26045
Q9UGN5 P12830
P10636 P08621
Q92698 Q9H7X0
O43474 Q91X58
O14497 Q8NFW9
P49590 O95396
Q8NFJ9 Q5VTR2
